"","city","state","totalpop","latitude","longitude"
"129","Afton","MI",937,45.366479,-84.429893
"130","Afton","MN",2916,44.90717,-92.816193
"131","Afton","NY",2805,42.255147,-75.533335
"132","Afton","OK",7258,36.82215,-94.916222
"133","Afton","TN",4874,36.227409,-82.734005
"134","Afton","TX",197,33.616428,-100.779303
"135","Afton","VA",4186,37.972758,-78.82231
"136","Afton","WI",23,42.605454,-89.070448
"137","Afton","WY",4307,42.711296,-110.619734
"138","Agar","SD",153,44.802621,-100.158903
"139","Agate","CO",392,39.382335,-104.084781
"140","Agawam","MA",16769,42.140549,-72.788661
"141","Agency","IA",1005,40.979036,-92.426183
"142","Agency","MO",1417,39.631108,-94.714003
"143","Agenda","KS",186,39.70438,-97.446521
"144","Ages Brookside","KY",531,36.865351,-83.287927
"145","Agness","OR",105,42.656925,-124.133206
"146","Agoura Hills","CA",25488,33.786594,-118.298662
"147","Agra","KS",393,39.760857,-99.119565
"148","Agra","OK",1253,35.908981,-96.873793
"149","Agua Dulce","TX",878,27.836111,-97.530388
"150","Aguada","PR",41520,18.393103,-67.180953
"151","Aguadilla","PR",54689,18.455913,-67.14578
"152","Aguanga","CA",3810,33.519176,-116.802625
"153","Aguas Buenas","PR",28605,18.250398,-66.12845
"154","Aguila","AZ",1197,33.276539,-112.18717
"155","Aguilar","CO",954,37.381577,-104.653809
"156","Aguirre","PR",8577,17.99229,-66.139253
"157","Ahmeek","MI",346,47.293287,-88.389708
"158","Ahoskie","NC",12007,36.339311,-76.990498
"159","Ahsahka","ID",194,46.507385,-116.296141
"160","Ahwahnee","CA",1909,37.379045,-119.736326
"161","Aibonito","PR",25598,18.128092,-66.268717
"162","Aiea","HI",40281,21.39065,-157.927829
"163","Aiken","SC",69485,33.5865606666667,-81.6791536666667
"164","Ailey","GA",2168,32.17966,-82.516557
"165","Aimwell","LA",117,31.596272,-91.77941
"166","Ainsworth","IA",1267,41.351113,-91.581212
"167","Ainsworth","NE",2484,42.542734,-99.852364
"168","Airville","PA",3083,39.821313,-76.405931
"169","Airway Heights","WA",6151,47.643803,-117.59205
"170","Aitkin","MN",8931,46.563605,-93.430495
"171","Ajo","AZ",4435,31.970131,-111.890713
"172","Akaska","SD",75,45.29069,-99.991823
"173","Akeley","MN",1840,46.987609,-94.726405
"174","Akiachak","AK",627,60.314735,-163.118947
"175","Akiak","AK",346,60.314735,-163.118947
"176","Akron","AL",1060,32.855347,-87.721868
"177","Akron","CO",2558,40.073328,-103.202379
"178","Akron","IA",2432,42.822482,-96.462952
"179","Akron","IN",3360,41.047932,-86.069172
"180","Akron","MI",1368,43.582147,-83.546114
"181","Akron","NY",9464,43.013808,-78.525296
"182","Akron","OH",272134,41.0747184705882,-81.5334185294118
"183","Akron","PA",4307,40.129894,-76.361053
"184","Akutan","AK",1027,55.430594,-162.55813
"185","Alabaster","AL",26225,33.193415,-86.794377
"186","Alachua","FL",15167,29.802745,-82.4840065
"187","Aladdin","WY",243,44.738184,-104.288519
"188","Alakanuk","AK",677,62.117231,-163.237636
"189","Alamance","NC",63,36.031836,-79.485643
"190","Alameda","CA",73812,37.7528255,-122.253923
"191","Alamo","CA",14889,37.936723,-122.067431
"192","Alamo","GA",4371,32.143021,-82.82677
"193","Alamo","IN",64,39.962271,-87.050635
"194","Alamo","ND",213,48.538749,-103.47341
"195","Alamo","NV",1224,37.472491,-115.143709
"196","Alamo","TN",4719,35.806106,-89.086594
"197","Alamo","TX",33722,26.221712,-98.218896
"198","Alamogordo","NM",36630,32.782796,-105.780781
"199","Alamosa","CO",14675,37.479933,-105.790967
"200","Alanson","MI",4585,45.539802,-84.805792
"201","Alapaha","GA",2178,31.383968,-83.221348
"202","Alba","MI",236,44.983262,-84.961776
"203","Alba","MO",639,37.236677,-94.417984
"204","Alba","TX",4334,32.815881,-95.705636
"205","Albany","CA",19615,37.889525,-122.29828
"206","Albany","GA",81416,31.5454393333333,-84.1827326666667
"207","Albany","IL",1232,41.729562,-90.159676
"208","Albany","IN",4134,40.277967,-85.274125
"209","Albany","KY",10216,36.745738,-85.181967
"210","Albany","LA",5266,30.527008,-90.742229
"211","Albany","MN",5157,45.614724,-94.494229
"212","Albany","MO",2388,40.256596,-94.330949
"213","Albany","NY",151022,42.6811702727273,-73.8038493636364
"214","Albany","OH",5541,39.240816,-82.177096
"215","Albany","OR",24928,44.594489,-122.581676
"216","Albany","TX",2532,32.768222,-99.210207
"217","Albany","VT",662,44.741679,-72.364639
"218","Albany","WI",2421,42.712827,-89.45123
"219","Albemarle","NC",26760,35.319817,-80.253448
"220","Albers","IL",1872,38.514316,-89.627154
"221","Albert City","IA",1116,42.735002,-95.151118
"222","Albert Lea","MN",21228,43.686288,-93.389838
"223","Albert","KS",318,38.420451,-98.913448
"224","Alberta","AL",784,32.145564,-87.354953
"225","Alberta","MN",251,45.585961,-96.000761
"226","Alberta","VA",1597,36.858078,-77.894632
"227","Alberton","MT",1361,46.989275,-114.558456
"228","Albertson","NC",2737,35.103676,-77.824959
"229","Albertson","NY",7406,40.754757,-73.601772
"230","Albertville","AL",33924,34.3183125,-86.217781
"231","Albertville","MN",10535,45.258673,-93.664342
"232","Albia","IA",5976,41.00004,-92.835186
"233","Albin","WY",401,41.335468,-104.249495
"234","Albion","CA",950,39.168027,-123.393401
"235","Albion","IA",730,42.143933,-92.961868
"236","Albion","ID",562,42.339326,-113.461324
"237","Albion","IL",3412,38.328816,-88.064182
"238","Albion","IN",7979,41.376028,-85.413862
"239","Albion","ME",2041,44.530366,-69.639976
"240","Albion","MI",14224,42.2906,-84.792885
"241","Albion","NE",2967,41.648736,-98.011092
"242","Albion","NY",14491,43.235143,-78.194251
"243","Albion","OK",217,34.418801,-95.358406
"244","Albion","PA",6581,41.894652,-80.311081
"245","Albion","RI",786,41.954098,-71.462053
"246","Albion","WA",500,46.934379,-117.412136
"247","Alborn","MN",500,47.014861,-92.612312
"248","Albright","WV",1836,39.516364,-79.617653
"249","Albrightsville","PA",8258,41.012618,-75.560751
"250","Albuquerque","NM",641349,35.0994328823529,-106.589844352941
"251","Alburg","VT",1998,44.93606,-73.289065
"252","Alburnett","IA",1152,42.157086,-91.645825
"253","Alburtis","PA",5450,40.514472,-75.602941
"254","Alcalde","NM",2747,36.064687,-106.077688
"255","Alcester","SD",1672,42.931698,-96.624298
"256","Alcoa","TN",6817,35.815758,-83.987698
"257","Alcolu","SC",2148,33.685155,-80.190733
"258","Alcova","WY",210,42.530223,-106.759971
"259","Alcove","NY",60,42.482455,-73.936671
"260","Alda","NE",1109,40.860721,-98.504787
"261","Alden","IA",1676,42.430997,-93.390638
"262","Alden","KS",234,38.233295,-98.316515
"263","Alden","MI",1121,44.900641,-85.232932
"264","Alden","MN",1613,43.733525,-93.532143
"265","Alden","NY",12704,42.872937,-78.528446
"266","Alder Creek","NY",98,43.419596,-75.224784
"267","Alder","MT",286,45.193898,-112.056807
"268","Alderpoint","CA",360,40.13049,-123.602161
"269","Alderson","OK",344,34.904489,-95.69806
"270","Alderson","WV",5383,37.84394,-80.572401
"271","Aldie","VA",11315,38.957718,-77.60375
"272","Aldrich","MN",235,46.379683,-94.936381
"273","Aldrich","MO",812,37.534753,-93.543226
"274","Aledo","IL",5627,41.197762,-90.730944
"275","Aledo","TX",13602,32.681918,-97.779522
"276","Aleknagik","AK",221,58.962101,-163.118947
"277","Aleppo","PA",290,39.870635,-80.211335
"278","Alex","OK",1062,34.914788,-97.78122
"279","Alexander City","AL",20816,32.930079,-85.805026
"280","Alexander","AR",14134,34.694468,-92.425087
"281","Alexander","IA",377,42.819841,-93.429379
"282","Alexander","IL",434,39.751657,-90.045839
"283","Alexander","KS",93,38.470116,-99.553222
"284","Alexander","NC",3635,35.628016,-82.556751
"285","Alexander","ND",472,47.737435,-103.298383
"286","Alexander","NY",1986,42.917622,-78.264873
"287","Alexandria Bay","NY",1822,44.074604,-75.840719
"288","Alexandria","AL",4603,33.780861,-85.904456
"289","Alexandria","IN",10459,40.213154,-85.680698
"290","Alexandria","KY",16412,38.921584,-84.374584
"291","Alexandria","LA",58923,31.2002573333333,-92.4443403333333
"292","Alexandria","MN",23961,45.902017,-95.420589
"293","Alexandria","MO",639,40.357643,-91.45886
"294","Alexandria","NE",289,40.244068,-97.386612
"295","Alexandria","OH",2400,40.100513,-82.612389
"296","Alexandria","PA",2410,40.54851,-78.095064
"297","Alexandria","SD",1616,43.66844,-97.75632
"298","Alexandria","TN",2292,36.034524,-85.997115
"299","Alexandria","VA",321490,38.7899825,-77.1007945714286
"300","Alexis","IL",1321,41.136994,-90.631224
"301","Alexis","NC",1130,35.365255,-81.087967
"302","Alford","FL",2144,30.641158,-85.375585
"303","Alfred Station","NY",1174,42.254097,-77.799317
"304","Alfred","ME",7351,43.467224,-70.738992
"305","Alfred","NY",4135,42.240535,-77.783192
"306","Alger","MI",3083,44.324353,-84.162443
"307","Alger","OH",1943,40.679192,-83.795649
"308","Algodones","NM",3684,35.337752,-106.392905
"309","Algoma","WI",5345,44.596017,-87.540266
"310","Algona","IA",7137,43.109313,-94.166994
"311","Algonac","MI",11986,42.614984,-82.597768
"312","Algonquin","IL",32193,42.280715,-88.461937
"313","Alhambra","CA",83057,33.786594,-118.298662
"314","Alhambra","IL",1752,38.882109,-89.739366
"315","Alice","TX",28710,27.703829,-98.055296
"316","Aliceville","AL",4972,33.236962,-88.061517
"317","Alicia","AR",498,35.952057,-91.030074
"318","Aline","OK",510,36.51176,-98.449895
"319","Aliquippa","PA",31964,40.675225,-80.304178
"320","Aliso Viejo","CA",49046,33.603459,-117.751341
"321","Alkol","WV",1130,38.167112,-81.968862
"322","Allakaket","AK",208,65.226375,-151.025085
"323","Allamuchy","NJ",39,40.869648,-74.849661
"324","Allardt","TN",901,36.381838,-84.775579
"325","Alledonia","OH",202,39.894917,-80.980056
"326","Alleene","AR",103,33.778125,-94.270165
"327","Allegan","MI",17374,42.539295,-85.894873
"328","Allegany","NY",6356,42.116168,-78.516218
"329","Alleghany","CA",86,39.466324,-120.829633
"330","Alleman","IA",474,41.813089,-93.609929
"331","Allen Junction","WV",261,37.603344,-81.53998
"332","Allen Park","MI",28200,42.27633,-83.194425
"333","Allen","KS",536,38.652011,-96.173461
"334","Allen","KY",755,37.479896,-82.6769
"335","Allen","MD",487,38.388434,-75.6276
"336","Allen","MI",1284,41.956346,-84.767913
"337","Allen","NE",830,42.445278,-96.884378
"338","Allen","OK",2170,34.869145,-96.415107
"339","Allen","SD",872,43.193203,-101.66933
"340","Allen","TX",93487,33.163339,-96.6620505
"341","Allendale","IL",985,38.527638,-87.706344
"342","Allendale","MI",20735,42.979522,-85.93927
"343","Allendale","MO",53,40.478118,-94.423294
"344","Allendale","NJ",6494,41.017446,-74.062774
